Combination of Positives,MPN INdex/100mL,Confidence Limit LOW,Confidence Limit HIGH
0-0-0,<0.1803,-,-
0-0-1,0.18,0.03,0.63
0-0-2,0.36,0.03,1.01
0-0-3,0.54,0.03,1.37
0-0-4,0.72,0.08,1.74
0-0-5,0.91,0.15,2.12
0-1-0,0.18,0.03,0.63
0-1-1,0.36,0.03,1.01
0-1-2,0.55,0.03,1.38
0-1-3,0.73,0.08,1.75
0-1-4,0.91,0.15,2.14
0-1-5,1.10,0.23,2.56
0-2-0,0.37,0.03,1.02
0-2-1,0.55,0.03,1.39
0-2-2,0.74,0.08,1.76
0-2-3,0.92,0.15,2.15
0-2-4,1.11,0.23,2.58
0-2-5,1.29,0.31,3.07
0-3-0,0.56,0.03,1.40
0-3-1,0.74,0.09,1.77
0-3-2,0.93,0.16,2.17
0-3-3,1.12,0.23,2.60
0-3-4,1.30,0.31,3.10
0-3-5,1.49,0.39,3.72
0-4-0,0.75,0.09,1.79
0-4-1,0.94,0.16,2.19
0-4-2,1.12,0.24,2.63
0-4-3,1.31,0.32,3.13
0-4-4,1.50,0.40,3.77
0-4-5,1.69,0.48,4.62
0-5-0,0.94,0.16,2.21
0-5-1,1.13,0.24,2.65
0-5-2,1.33,0.32,3.17
0-5-3,1.52,0.40,3.82
0-5-4,1.71,0.48,4.70
0-5-5,1.90,0.56,5.63
1-0-0,0.20,0.03,0.68
1-0-1,0.40,0.03,1.08
1-0-2,0.60,0.03,1.49
1-0-3,0.81,0.11,1.91
1-0-4,1.01,0.19,2.36
1-0-5,1.22,0.28,2.87
1-1-0,0.40,0.03,1.09
1-1-1,0.61,0.03,1.50
1-1-2,0.81,0.11,1.92
1-1-3,1.02,0.19,2.38
1-1-4,1.23,0.28,2.90
1-1-5,1.44,0.37,3.54
1-2-0,0.61,0.03,1.51
1-2-1,0.82,0.12,1.94
1-2-2,1.03,0.20,2.40
1-2-3,1.24,0.29,2.93
1-2-4,1.46,0.38,3.59
1-2-5,1.67,0.47,4.51
1-3-0,0.83,0.12,1.96
